region_code,region,item,element,unit,year,amount
001,World,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.14
001,World,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
001,World,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
001,World,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
001,World,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
001,World,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
001,World,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
001,World,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,38.4
001,World,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,40.8
001,World,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,2934.2
001,World,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,3116.8
002,Africa,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.1
002,Africa,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
002,Africa,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
002,Africa,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
002,Africa,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
002,Africa,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
002,Africa,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
002,Africa,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,65.3
002,Africa,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,65.1
002,Africa,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,837.3
002,Africa,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,835.6
014,Eastern Africa,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.11
014,Eastern Africa,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
014,Eastern Africa,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
014,Eastern Africa,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
014,Eastern Africa,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
014,Eastern Africa,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
014,Eastern Africa,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
014,Eastern Africa,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,73.9
014,Eastern Africa,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,73.6
014,Eastern Africa,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,307.7
014,Eastern Africa,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,306.4
017,Middle Africa,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.12
017,Middle Africa,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
017,Middle Africa,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
017,Middle Africa,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
017,Middle Africa,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
017,Middle Africa,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
017,Middle Africa,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
017,Middle Africa,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,78.2
017,Middle Africa,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,78.4
017,Middle Africa,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,133.8
017,Middle Africa,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,134.2
015,Northern Africa,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.36
015,Northern Africa,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
