Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Release Code,Release,Unit,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F,Y2023,Y2023F,Y2024,Y2024F
"5000","'001","World","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day","3.14","E","3.19","E","3.3","E","3.43","E","3.6","E","4.01","E","4.3","E","4.46","E"
"5000","'001","World","70070","Cost of starchy staples, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.58","E",,,,,,
"5000","'001","World","70080","Cost of animal source foods, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"1","E",,,,,,
"5000","'001","World","70090","Cost of legumes, nuts and seeds, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.39","E",,,,,,
"5000","'001","World","70100","Cost of vegetables, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.76","E",,,,,,
"5000","'001","World","70110","Cost of fruits, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.67","E",,,,,,
"5000","'001","World","70120","Cost of oils and fats, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.17","E",,,,,,
"5000","'001","World","7005","Prevalence of unaffordability (PUA), percent","6121","Value","7S2025","July 2025 (SOFI report)","%","38.4","E","36.5","E","35.4","E","36.9","E","34.5","E","33.5","E","32.8","E","31.9","E"
"5000","'001","World","7005","Prevalence of unaffordability (PUA), percent","6121","Value","12U2024","December 2024 (Update)","%","40.8","E","38.2","E","36.5","E","38.1","E","35.6","E","34.7","E",,,,
"5000","'001","World","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Value","7S2025","July 2025 (SOFI report)","million No","2934.2","E","2818.5","E","2762.1","E","2911.4","E","2746.7","E","2683.7","E","2653.4","E","2604.6","E"
"5000","'001","World","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Value","12U2024","December 2024 (Update)","million No","3116.8","E","2951.3","E","2851","E","3001.7","E","2831.7","E","2786.2","E",,,,
"5100","'002","Africa","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day","3.1","E","3.13","E","3.21","E","3.32","E","3.52","E","3.89","E","4.18","E","4.41","E"
"5100","'002","Africa","70070","Cost of starchy staples, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.65","E",,,,,,
"5100","'002","Africa","70080","Cost of animal source foods, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"1.23","E",,,,,,
"5100","'002","Africa","70090","Cost of legumes, nuts and seeds, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.36","E",,,,,,
"5100","'002","Africa","70100","Cost of vegetables, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.64","E",,,,,,
"5100","'002","Africa","70110","Cost of fruits, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.44","E",,,,,,
"5100","'002","Africa","70120","Cost of oils and fats, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.2","E",,,,,,
"5100","'002","Africa","7005","Prevalence of unaffordability (PUA), percent","6121","Value","7S2025","July 2025 (SOFI report)","%","65.3","E","64.6","E","64.1","E","65.2","E","64.7","E","64.8","E","66.2","E","66.6","E"
"5100","'002","Africa","7005","Prevalence of unaffordability (PUA), percent","6121","Value","12U2024","December 2024 (Update)","%","65.1","E","64.6","E","64.2","E","65.1","E","64.6","E","64.8","E",,,,
"5100","'002","Africa","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Value","7S2025","July 2025 (SOFI report)","million No","837.3","E","849.1","E","864","E","900.1","E","915.1","E","937.7","E","979.6","E","1008.9","E"
"5100","'002","Africa","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Value","12U2024","December 2024 (Update)","million No","835.6","E","850","E","865","E","898.7","E","913.1","E","937.5","E",,,,
"5101","'014","Eastern Africa","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day","3.11","E","3.13","E","3.23","E","3.33","E","3.51","E","3.88","E","4.18","E","4.48","E"
